Frame,Frame Time (ms),Obstacle Density (%),Graph Time (ms),Path Length
1,3589.463233947754,10.118875385802468,2475.6975173950195,1036
2,3505.1817893981934,9.989269868827162,2410.7251167297363,1040
3,2503.2923221588135,9.837661554783951,2327.425479888916,0
4,2539.557933807373,9.653199749228394,2346.6598987579346,0
5,2634.357213973999,9.283070505401234,2464.0467166900635,0
6,3899.7576236724854,8.8891300154321,2756.2007904052734,836
7,3684.7238540649414,9.09107349537037,2610.271215438843,866
8,2720.472812652588,8.865318769290123,2485.8663082122803,0
9,3250.102758407593,8.890335648148149,2263.1852626800537,844
